date,open,high,low,ltp,% change,turnover,close
3/31/2024,40100,40100,40100,40100,0.75,401000,40400.75
3/28/2024,40200,40600,39800.1,39800.1,0.76,4638251,40505.52
3/27/2024,40300,40600,39500,39500,-0.13,8074500,40247.61
3/26/2024,40000,40000,39550.2,39550.2,0.27,874602.4,40108
3/25/2024,39000,40400,39000,39445,1.14,11322610,39444.6
3/21/2024,39700,39700,39000,39000,0,3133001,39700
3/20/2024,39899.9,39899.9,39000,39000,-1.27,1858129,39393.17127
3/19/2024,40500,40500,39500,39500,-1,20003190,40095
3/18/2024,39899.9,39900,39899,39900,0,12408876.9,39899.9
3/17/2024,39850,39900,39850,39900,0.01,5982500,39853.985
3/14/2024,39201,39898,39000,39898,-0.26,4394180,39099.0774
3/13/2024,40800,40800,40000,40000,0,4169600,40800
3/12/2024,39699.9,40494,39684.2,40000,2.59,5190750.9,40728.12741
3/7/2024,39780,39780,38990,38990,-0.03,1964701,39768.066
3/6/2024,39500,39500,39000,39000,0,1175001,39500
3/5/2024,39500,39500,39000,39000,-0.24,785000,39405.2
3/3/2024,38815,39900,38815,39093,-1.3,3927010,38310.405
2/29/2024,41100,41100,39500,39607,-5.47,3999078,38851.83
2/28/2024,39000,42300,38950,41900,6.08,6026461,41371.2
2/27/2024,39500,39500,38750,39499,0,1564990,39500
2/26/2024,39200,40443,39086,39500,-1.25,3206818.1,38710
2/25/2024,39600,40000,39600,40000,1.27,1195999,40102.92
2/22/2024,39398,39788.9,39398,39500,1.06,1974859,39815.6188
2/21/2024,38320.1,39086,38320,39086,2.05,1157261,39105.66205
2/20/2024,38350,38350,38300,38300,-0.05,766500,38330.825
2/18/2024,38500,38500,38318,38318,-2,3451260,37730
2/15/2024,39183.4,39183.4,39100,39100,-2.21,861200.8,38317.44686
2/14/2024,39200,39983,39200,39983,-0.04,791830,39184.32
2/13/2024,39592,40000,39501,40000,-0.99,2772999,39200.0392
2/12/2024,39000,40400,39000,40400,5.35,2031300,41086.5
2/11/2024,40474,40474,38350,38350,-7.14,2360310,37584.1564
2/8/2024,39700,41300,39700,41300,1.98,3676990,40486.06
2/7/2024,40210,40800,40210,40500,-1.22,2026600,39719.438
2/6/2024,41004,41500,41000,41000,1.99,4443500,41819.9796
2/5/2024,40200,40200,40200,40200,-1.95,402000,39416.1
2/4/2024,41588.4,41588.4,41000,41000,0.56,1235884,41821.29504
2/1/2024,41604.6,41604.6,40773,40773,-2,1231526,40772.508
1/31/2024,40100,41604.6,39975,41604.6,4.03,7310182,41716.03
1/30/2024,39600,40000,39600,39993,-0.02,7962030,39592.08
1/29/2024,40000,40087,40000,40000,1.78,2001740,40712
1/28/2024,39301,39301,39301,39301,-1.75,393010,38613.2325
1/25/2024,40099.9,40600,39450,40000,1.54,4418377,40717.43846
1/24/2024,39800,39800,39300,39393,0.96,3952371,40182.08
1/23/2024,38906,39684.1,38906,39020,-1.71,1962102,38240.7074
1/22/2024,39800,40000,39700,39700,-1.24,3306550,39306.48
1/21/2024,41000,41000,39400,40200,0,4403801,41000
1/18/2024,39105,40200,39105,40200,1.26,2389050,39597.723
1/17/2024,39100,39882,39100,39700,0.51,1783230,39299.41
1/16/2024,39678,40300,39500.1,39500.1,1.54,1597781,40289.0412
1/14/2024,39525,39525,38900,38900,0.39,1179500,39679.1475
1/11/2024,39185,39185,38600,38750,-3.09,2335350,37974.1835
1/10/2024,39200,39984,38500.7,39984,-0.04,3131268,39184.32
1/9/2024,40000,40000,40000,40000,1.27,800000,40508
1/8/2024,39781,39781,38320,39500,1.28,4577834,40290.1968
1/7/2024,39200,39200,39001,39001,-2.5,782010,38220
1/4/2024,41297.2,41297.2,38868.7,40000,-5.08,3894301.2,39199.30224
1/1/2024,43000,43000,42140,42140,-1.15,851400,42505.5
12/28/2023,42630,42630,42630,42630,-2,426300,41777.4
12/27/2023,42238,43500,38790,43500,0.93,11979323,42630.8134
12/24/2023,43152.4,43152.4,42289.4,43100,-2.12,1716942,42237.56912
12/21/2023,42200,44033,42200,44033,6.1,2140360,44774.2
12/20/2023,38998.8,42350,38900,41503,7.8,10785717,42040.7064
12/19/2023,39740,39740,38500,38500,-1.28,1557401,39231.328
12/18/2023,38700,39400,38000,39000,2.63,6179985,39717.81
12/17/2023,38800,38800,37450,37999,-0.52,3024930,38598.24
12/14/2023,37400,38199,37400,38199,0.13,2075777,37448.62
12/13/2023,38862,38862,38150,38150,0.13,1917220,38912.5206
12/12/2023,39000,39000,38000,38101,-2.93,7703820,37857.3
12/11/2023,39100,39250,39000,39250,-1.58,5083560,38482.22
12/10/2023,39100,39882,39100,39882,3.99,1180820,40660.09
12/7/2023,38000,39200,37500.1,38350.1,0.34,4616447,38129.2
12/6/2023,39500,39500,38220,38220,-2,6162850,38710
12/5/2023,42328,42328,39000,39000,-6.02,2424017,39779.8544
12/4/2023,41499,41499,41499,41499,1.78,414990,42237.6822
