date,open,high,low,ltp,% change,turnover,close
3/31/2024,182.1,200,179,181.6,-0.16,16703251.7,181.80864
3/28/2024,186.5,186.5,181,181.9,-0.55,8353715.5,185.47425
3/27/2024,184,185,181.5,182.9,-1.03,7353346.1,182.1048
3/26/2024,184,185,181.1,184.8,0.27,5951354.7,184.4968
3/25/2024,185,187,183.6,184.3,-1.6,15073846.2,182.04
3/21/2024,189,190,186.6,187.3,-1.42,8209397.5,186.3162
3/20/2024,192.7,192.7,187.2,190,0.53,7641481.6,193.72131
3/19/2024,192.5,192.5,188.5,189,-2.02,7688193.6,188.6115
3/18/2024,195.3,195.3,188.2,192.9,0.73,10667247.9,196.72569
3/17/2024,191,192,190.1,191.5,-1.03,7746439.3,189.0327
3/14/2024,192,194.8,192,193.5,-0.26,14092376.1,191.5008
3/13/2024,197.8,197.8,191.1,194,0,12242841.6,197.8
3/12/2024,191,195,190.6,194,1.57,14691223.6,193.9987
3/10/2024,191.7,192,188,191,1.6,9766429.2,194.7672
3/7/2024,189.7,193.1,186,188,1.08,9097623.4,191.74876
3/6/2024,186.1,188.8,183,186,-0.05,5164539,186.00695
3/5/2024,197,197.1,186,186.1,-4.95,10356250.9,187.2485
3/4/2024,183,195.8,183,195.8,7.94,332892,197.5302
3/3/2024,180,181.9,178.6,181.4,-0.27,9288224.9,179.514
2/29/2024,182,192.4,181.1,181.9,-1.68,6312151.7,178.9424
2/28/2024,184,186,181.7,185,0.54,8613319.8,184.9936
2/27/2024,184.9,184.9,181,184,0.82,6831592,186.41618
2/26/2024,184,187.6,179.2,182.5,0.66,9936167.8,185.2144
2/25/2024,188,188,180,181.3,-2.79,15480684.8,182.7548
2/22/2024,189,190,186.5,186.5,-1.32,10831124.3,186.5052
2/21/2024,190,191,188,189,0,6894824,190
2/20/2024,186.1,191,186.1,189,0.16,14128955,186.39776
2/18/2024,190,192,188.3,188.7,-1.2,12461450.4,187.72
2/15/2024,193,193,190.1,191,-0.52,11987537.8,191.9964
2/14/2024,194.5,194.5,191.2,192,0,7825838.3,194.5
2/13/2024,194,195,191.1,192,-1.23,20497551,191.6138
2/12/2024,198,198,193.1,194.4,-0.05,12139194.6,197.901
2/11/2024,195,198,194.1,194.5,-0.26,17064442.3,194.493
2/8/2024,194.5,197,194.1,195,0.26,11308139.4,195.0057
2/7/2024,196.9,200.8,194.1,194.5,0.73,8531908,198.33737
2/6/2024,195,196,193,193.1,-0.26,10202557.3,194.493
2/5/2024,195.5,197,193,193.6,-0.51,11974771.8,194.50295
2/4/2024,196,196,193.2,194.6,-0.56,12476909.8,194.9024
2/1/2024,197,197,195,195.7,-0.66,16734691.8,195.6998
1/31/2024,195,200,195,197,-0.76,19626525.5,193.518
1/30/2024,201.9,201.9,197.3,198.5,-0.25,16842011,201.39525
1/29/2024,200,202,197.9,199,-0.5,17889115.3,199
1/28/2024,202,202,198.8,200,-0.99,18753024.6,200.0002
1/25/2024,200,202.9,199,202,0.15,22820724.6,200.3
1/24/2024,199,201.9,197.5,201.7,1.87,23717708.6,202.7213
1/23/2024,199,200,196.5,198,0,21003350.4,199
1/22/2024,200.7,202,196.1,198,-1.98,26801171,196.72614
