date,open,high,low,ltp,% change,turnover,close
3/31/2024,187.3,190,187.3,188,-0.79,5011466.8,185.82033
3/28/2024,189,191,188.2,189.5,-0.79,3178126.7,187.5069
3/27/2024,192,192,189,191,-0.42,2692892,191.1936
3/26/2024,191,192,190,191.8,0.42,2383845.5,191.8022
3/25/2024,191,192,190.1,191,-1.04,2636230.1,189.0136
3/21/2024,197.6,197.6,191,193,-0.52,1905844.2,196.57248
3/20/2024,195,195,192,194,-0.97,5276452.5,193.1085
3/19/2024,198,199,192.2,195.9,-0.96,2640017.8,196.0992
3/18/2024,190.1,204.9,184,197.8,2.49,7174042.1,194.83349
3/17/2024,192.4,195,192,193,-0.36,5768760.2,191.70736
3/14/2024,197,198.9,193,193.7,-1.32,1901357.1,194.3996
3/13/2024,200,201.8,196,196.3,-1.01,6408922,197.98
3/12/2024,198,199.9,194.2,198.3,2.11,9119314.1,202.1778
3/10/2024,190.8,196.6,190.8,194.2,2.21,5049314.9,195.01668
3/7/2024,192,193,189,190,-0.52,5049803.5,191.0016
3/6/2024,194,194,189,191,0.05,6927097,194.097
3/5/2024,194.3,198,189,190.9,0.21,11382565.5,194.70803
3/4/2024,187,190.5,187,190.5,1.98,218900,190.7026
3/3/2024,185,187.5,184,186.8,-0.11,9336772.5,184.7965
2/29/2024,187.6,188.9,186.1,187,-0.27,10741996.1,187.09348
2/28/2024,188,189.9,187,187.5,-0.53,4644908.7,187.0036
2/27/2024,188,189,186,188.5,0.27,6009550.9,188.5076
2/26/2024,187,189,186.1,188,0.97,5174078.1,188.8139
2/25/2024,187.9,187.9,185.1,186.2,-0.96,5935664.4,186.09616
2/22/2024,188,191.8,186.8,188,-1.31,7570960.4,185.5372
2/21/2024,191.1,194,190.3,190.5,-0.31,3499885.6,190.50759
2/20/2024,195.8,198,190,191.1,-0.47,4537972.4,194.87974
2/18/2024,192,195,189,192,-0.26,10463118.2,191.5008
2/15/2024,193,195,192.5,192.5,-0.26,4560121.4,192.4982
2/14/2024,195.1,196.9,193,193,-1.03,12575354.3,193.09047
2/13/2024,199,199,194.1,195,-2.45,13643216,194.1245
2/12/2024,201,201,197.5,199.9,0.45,5341004.2,201.9045
2/11/2024,200,203,198.3,199,-0.95,6593117.3,198.1
2/8/2024,198.7,201,198.7,200.9,0.45,4083122.6,199.59415
2/7/2024,205,205,199.4,200,-0.5,8388715.8,203.975
2/6/2024,202,202,199,201,0.05,4882725.4,202.101
2/5/2024,203.3,203.3,198.7,200.9,0.75,4466578.1,204.82475
2/4/2024,200,201.9,199.1,199.4,-0.3,6675169.4,199.4
2/1/2024,201,202.4,199.2,200,-1.23,6552087,198.5277
1/31/2024,204,205.8,201.8,202.5,-0.25,4215610.1,203.49
1/30/2024,204,206,202.2,203,0,6466301.9,204
1/29/2024,202.4,222.6,202.4,203,0.3,9233834.7,203.0072
1/28/2024,205,207,201,202.4,-1.27,10354000.6,202.3965
1/25/2024,209,209,203.1,205,0,3855823,209
1/24/2024,206,209,204,205,-0.24,4839515.8,205.5056
1/23/2024,209.1,209.1,203.1,205.5,0.24,6287022.3,209.60184
1/22/2024,207,209,204.4,205,-1.68,13177374.5,203.5224
1/21/2024,219,219,206.8,208.5,-3.02,30895880.5,212.3862
1/18/2024,215,218,212,215,-1.83,10813307.3,211.0655
1/17/2024,215,220,214.5,219,2.1,22275917,219.515
1/16/2024,211.1,215.1,208.7,214.5,2.63,16102412.7,216.65193
1/14/2024,205,209.4,202.5,209,1.95,6236761.3,208.9975
1/11/2024,204.4,207.9,204,205,0,4552792.7,204.4
1/10/2024,206,210.1,204.5,205,0.49,8184141.1,207.0094
1/9/2024,203,206,202,204,1.29,9731643.3,205.6187
1/8/2024,200,205,200,201.4,0.2,7769498.2,200.4
1/7/2024,209,209,201,201,-3.83,9447613.2,200.9953
1/4/2024,210,210.9,203.2,209,1.46,13218755.5,213.066
1/3/2024,206.9,206.9,203.1,206,0,5248464,206.9
1/2/2024,208,210,201.4,206,-1.9,9615964.2,204.048
1/1/2024,209.5,212,209,210,0.19,13766144.8,209.89805
12/28/2023,210,211,208.2,209.6,-0.24,14301357.9,209.496
12/27/2023,210,214,210,210.1,-0.33,16827692.4,209.307
12/24/2023,213,220,209.5,210.8,-0.57,13199724,211.7859
12/21/2023,215.2,217,210.8,212,-2.03,17834793.1,210.83144
12/20/2023,223,223,210.2,216.4,-1.14,19916652.5,220.4578
12/19/2023,210,219.8,210,218.9,4.74,21669963.7,219.954
12/18/2023,208,211,202,209,1.46,18338508.7,211.0368
12/17/2023,203.6,208,199.6,206,-0.82,4754407.5,201.93048
12/14/2023,208,209.9,207,207.7,-1,3205279,205.92
12/13/2023,209.9,210,206,209.8,1.6,6668353.7,213.2584
12/12/2023,207,208,204,206.5,-0.34,7572076.3,206.2962
12/11/2023,211.2,215,205,207.2,0.05,11048124.8,211.3056
12/10/2023,198,207.1,198,207.1,4.12,354141,206.1576
12/7/2023,200.9,200.9,196.3,198.9,0.2,3090267.6,201.3018
12/6/2023,197.5,199.9,196.1,198.5,-0.65,2356132.6,196.21625
12/5/2023,198.1,201,196.1,199.8,0.15,2284005,198.39715
12/4/2023,197,200,196,199.5,1.27,5470006.7,199.5019
12/3/2023,198,198.1,195.9,197,-0.71,4019030.7,196.5942
11/30/2023,199,199.6,196,198.4,-0.6,4123733.6,197.806
11/29/2023,202,202,198.1,199.6,0,1976018.5,202
11/28/2023,204,204,199,199.6,-2.16,3488523.3,199.5936
11/27/2023,206,208,201.1,204,-0.73,5365583.5,204.4962
11/26/2023,200,205.5,197.5,205.5,3.79,6244045.8,207.58
11/23/2023,199,199,196,198,0,3436675.5,199
11/22/2023,199.7,199.9,197,198,-0.5,3472267.6,198.7015
11/21/2023,200,200,196,199,-0.3,2580445.1,199.4
11/20/2023,202,202,199,199.6,0.71,2365260.5,203.4342
11/9/2023,200,201.3,196,198.2,0.05,4980098,200.1
11/8/2023,196,215.2,195.2,198.1,0.1,3635409.1,196.196
11/7/2023,200.9,201,195.1,197.9,-0.05,3799546.5,200.79955
11/6/2023,197.9,214,194.1,198,1.54,4484427.6,200.94766
11/5/2023,198,200,193.6,195,-1.22,8343590.8,195.5844
11/2/2023,199,199,196,197.4,-0.7,3248139.1,197.607
11/1/2023,200,200,197,198.8,-0.1,2929019.4,199.8
10/31/2023,198,200,198,199,-0.5,2461396.2,197.01
10/30/2023,199.1,201,198.5,200,-0.1,5525650.9,198.9009
10/29/2023,203.8,203.8,200.2,200.2,-2.15,2506860.5,199.4183
10/19/2023,205.9,205.9,200,204.6,0.64,6295419.8,207.21776
10/18/2023,200.9,204.9,199,203.3,1.19,4298689.6,203.29071
10/17/2023,200,200.9,193,200.9,0.95,13887365.8,201.9
10/16/2023,199.1,200,198.5,199,-0.55,3258325,198.00495
10/12/2023,201,203,199,200.1,-0.94,6204931,199.1106
10/11/2023,202.4,202.4,199.5,202,0.9,4367205.2,204.2216
10/10/2023,200,202.9,199.7,200.2,-0.84,6431587.8,198.32
10/9/2023,202,203,200,201.9,-0.54,6513289.9,200.9092
10/8/2023,204,204.3,201,203,-0.39,7335003,203.2044
10/5/2023,204.5,204.5,203,203.8,0.15,7016429.7,204.80675
10/4/2023,202,205.6,200.7,203.5,0.25,8208777.3,202.505
10/3/2023,202,205,202,203,-0.49,4917250.3,201.0102
10/2/2023,200.1,205,200.1,204,0.1,6382393.6,200.3001
10/1/2023,204,205.5,201.4,203.8,-0.49,6030155,203.0004
9/27/2023,209,209,203.6,204.8,-0.82,6368114,207.2862
9/26/2023,207.4,209,205,206.5,0.24,6381638.6,207.89776
9/25/2023,203,206.9,202,206,0.34,10132339.7,203.6902
9/24/2023,207,209,205,205.3,-1.06,5401149.9,204.8058
9/21/2023,206,209,205.7,207.5,1.92,9092189.9,209.9552
9/19/2023,203.5,204,202.1,203.6,0.3,2136420.9,204.1105
9/18/2023,202,204.9,200,203,-0.59,4081837.1,200.8082
9/17/2023,209,209,204.2,204.2,-0.87,3778243.5,207.1817
9/13/2023,207,208.9,204.2,206,-0.43,4228729.7,206.1099
9/12/2023,207.3,207.9,205,206.9,0.19,4518087.2,207.69387
9/11/2023,203,206.9,203,206.5,1.72,4356658.2,206.4916
9/10/2023,200.7,204,200.7,203,1.15,4318038,203.00805
9/7/2023,202,203,200,200.7,-1.23,5990369.1,199.5154
9/5/2023,204,205.9,203,203.2,-0.64,5207966,202.6944
9/4/2023,204.2,207,203,204.5,0.15,5220660.5,204.5063
9/3/2023,209.5,209.5,204,204.2,-1.35,5164628.2,206.67175
8/30/2023,206,212.1,204,207,1.22,6572564.5,208.5132
8/29/2023,206,207,203,204.5,-1.06,4391701.6,203.8164
8/28/2023,206,207.8,204.1,206.7,0.34,3328173.7,206.7004
8/27/2023,208,208,205,206,-0.96,3981374.2,206.0032
8/24/2023,210,211.3,206.6,208,-0.91,4571875.6,208.089
8/23/2023,209,212.5,206.3,209.9,1.75,6093602.1,212.6575
8/22/2023,209,209,203,206.3,0.15,3577531.8,209.3135
8/21/2023,204.5,206.9,204.1,206,0.39,8212912.9,205.29755
8/20/2023,208,209,204,205.2,-1.35,8794516.3,205.192
8/17/2023,210,211,207,208,-0.05,8010422.8,209.895
8/16/2023,212,212,205.3,208.1,-3.16,2498391.1,205.3008
8/15/2023,213.5,215,208,214.9,0.42,8394351,214.3967
8/14/2023,212.6,215.8,207.3,214,1.71,10417070.9,216.23546
8/13/2023,209,212.7,209,210.4,1.4,24442779.7,211.926
8/10/2023,206,208,204,207.5,1.22,6509246.4,208.5132
8/9/2023,203.1,206.1,202,205,0,7943006.6,203.1
8/8/2023,207,209,204.3,205,-0.97,9374636.4,204.9921
8/7/2023,212,212,205.2,207,-2.36,18066587.4,206.9968
8/6/2023,219,219,209,212,-4.93,27116227.1,208.2033
8/3/2023,215,227,215,223,1.83,10407927.7,218.9345
8/2/2023,218,221.9,216.8,219,0.46,9083359.1,219.0028
8/1/2023,220,225,217,218,-2.24,6529675.7,215.072
7/31/2023,217.4,226.4,217.4,223,0.54,17259647.6,218.57396
7/30/2023,222,224,215,221.8,0,11019161.5,222
7/27/2023,226,226,220,221.8,-0.94,15681705.5,223.8756
7/26/2023,222.1,226,221.2,223.9,0.4,10644366.4,222.9884
7/25/2023,230,230,221.7,223,-3.46,11906234.2,222.042
7/24/2023,240,240,225.4,231,-3.35,29022586.8,231.96
7/23/2023,226,240,224.9,239,6.74,34479741.3,241.2324
7/20/2023,231,231,223,223.9,-1.15,17372440.3,228.3435
7/19/2023,223,230,217,226.5,2.49,26712611.6,228.5527
7/18/2023,220,223,219,221,1.84,14846736.9,224.048
7/17/2023,213,219,210,217,1.97,10665468.8,217.1961
7/16/2023,211.9,213,208,212.8,1.87,5238008.9,215.86253
7/13/2023,209,212,208.9,208.9,0.43,4006388.5,209.8987
7/12/2023,211,211,206,208,0.48,7765849.4,212.0128
7/11/2023,208.1,209.7,206.2,207,-0.96,8045775,206.10224
7/10/2023,208.1,212,208.1,209,0.43,6498122.9,208.99483
7/9/2023,207,210,207,208.1,0.77,4495972.7,208.5939
7/6/2023,210,210,206.5,206.5,-1.2,6300977.3,207.48
7/5/2023,212,212.9,208.3,209,-0.38,10916058.3,211.1944
